POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,Police_Count
3011,Western municipalities and their suburbs,City of Maribyrnong,Mid,1
3016,Western municipalities and their suburbs,City of Hobsons Bay,Mid,1
3018,Western municipalities and their suburbs,City of Hobsons Bay,Mid,1
3020,Western municipalities and their suburbs,City of Brimbank,Mid,1
3023,Western municipalities and their suburbs,City of Brimbank,Mid,1
3025,Western municipalities and their suburbs,City of Hobsons Bay,Mid,1
3028,Western municipalities and their suburbs,City of Hobsons Bay,Mid,1
3029,Western municipalities and their suburbs,City of Melton,Outer,1
3030,Western municipalities and their suburbs,City of Brimbank,Mid,1
3031,Inner City municipalities and their suburbs,City of Melbourne,Inner,1
3034,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3038,Western municipalities and their suburbs,City of Brimbank,Mid,1
3039,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3041,Northern municipalities and their suburbs,City of Moonee Valley,Mid,1
3046,Northern municipalities and their suburbs,City of Moreland,Mid,1
3047,Northern municipalities and their suburbs,City of Hume,Outer,1
3051,Inner City municipalities and their suburbs,City of Melbourne,Inner,1
3056,Northern municipalities and their suburbs,City of Moreland,Mid,1
3064,Northern municipalities and their suburbs,City of Hume,Outer,1
3065,Inner City municipalities and their suburbs,City of Yarra,Mid,1
3066,Inner City municipalities and their suburbs,City of Yarra,Mid,1
3067,Inner City municipalities and their suburbs,City of Yarra,Mid,1
3070,Northern municipalities and their suburbs,City of Darebin,Mid,1
3072,Northern municipalities and their suburbs,City of Darebin,Mid,1
3073,Northern municipalities and their suburbs,City of Darebin,Mid,1
3076,Northern municipalities and their suburbs,City of Whittlesea,Outer,1
3082,Northern municipalities and their suburbs,City of Whittlesea,Outer,1
3084,Northern municipalities and their suburbs,City of Banyule,Mid,1
3088,Northern municipalities and their suburbs,City of Banyule,Mid,1
3095,Northern municipalities and their suburbs,City of Banyule,Mid,1
3099,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,1
3101,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3102,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3109,Eastern municipalities and their suburbs,City of Manningham,Mid,1
3113,Eastern municipalities and their suburbs,City of Manningham,Mid,1
3121,Inner City municipalities and their suburbs,City of Yarra,Mid,1
3124,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3125,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3128,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3131,Eastern municipalities and their suburbs,City of Manningham,Mid,1
3132,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3134,Eastern municipalities and their suburbs,City of Manningham,Mid,1
3136,Eastern municipalities and their suburbs,City of Maroondah,Mid,1
3138,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3140,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3141,Inner City municipalities and their suburbs,City of Melbourne,Inner,1
3144,Southeastern municipalities and their suburbs,City of Stonnington,Mid,1
3147,Eastern municipalities and their suburbs,City of Boroondara,Mid,1
3149,Southeastern municipalities and their suburbs,City of Monash,Mid,1
3150,Southeastern municipalities and their suburbs,City of Monash,Mid,1
3151,Eastern municipalities and their suburbs,City of Whitehorse,Mid,1
3152,Eastern municipalities and their suburbs,City of Knox,Mid,1
3155,Eastern municipalities and their suburbs,City of Knox,Mid,1
3160,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3162,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,1
3171,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,1
3175,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,1
3177,Southeastern municipalities and their suburbs,City of Casey,Outer,1
3178,Eastern municipalities and their suburbs,City of Knox,Mid,1
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,1
3189,Southeastern municipalities and their suburbs,City of Bayside,Mid,1
3191,Southeastern municipalities and their suburbs,City of Bayside,Mid,1
3192,Southeastern municipalities and their suburbs,City of Bayside,Mid,1
3195,Southeastern municipalities and their suburbs,City of Kingston,Mid,1
3196,Southeastern municipalities and their suburbs,City of Kingston,Mid,1
3199,Southeastern municipalities and their suburbs,City of Frankston,Outer,1
3201,Southeastern municipalities and their suburbs,City of Frankston,Outer,1
3205,Inner City municipalities and their suburbs,City of Port Phillip,Inner,1
3337,Western municipalities and their suburbs,City of Melton,Outer,1
3429,Northern municipalities and their suburbs,City of Hume,Outer,1
3754,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,1
3757,Northern municipalities and their suburbs,City of Whittlesea,Outer,1
3793,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3796,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,1
3802,Southeastern municipalities and their suburbs,City of Casey,Outer,1
3805,Southeastern municipalities and their suburbs,City of Casey,Outer,1
3810,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,1
3815,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,1
3912,Southeastern municipalities and their suburbs,City of Casey,Outer,1
3915,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,1
3931,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,1
3936,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,1
3939,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,1
3977,Southeastern municipalities and their suburbs,City of Casey,Outer,1
