Postcode,Police Count
3000,6
3006,1
3011,1
3016,1
3018,1
3020,1
3023,2
3025,1
3028,1
3029,2
3030,2
3031,1
3034,3
3038,1
3039,1
3041,1
3045,5
3046,1
3047,1
3049,1
3051,1
3056,2
3064,1
3065,1
3066,1
3067,1
3070,1
3072,3
3073,2
3076,1
3082,1
3084,1
3086,1
3088,1
3089,1
3095,1
3099,1
3101,1
3102,1
3109,1
3113,1
3121,1
3124,1
3125,1
3128,1
3131,2
3132,1
3134,1
3136,1
3138,1
3140,1
3141,1
3144,1
3147,1
3149,1
3150,2
3151,1
3152,1
3155,1
3160,1
3162,1
3171,1
3175,1
3177,1
3178,1
3182,2
3189,1
3191,1
3192,1
3195,1
3196,1
3199,1
3201,1
3205,1
3337,1
3429,1
3617,1
3754,1
3757,1
3782,1
3788,1
3793,1
3796,1
3797,2
3799,1
3800,1
3802,1
3805,1
3810,1
3815,1
3912,2
3915,1
3931,1
3936,1
3939,1
3941,1
3943,1
3977,1
