,Police Station,Address,Municipality,Suburb,Postcode
0,Ringwood Police Complex,"31 Ringwood Street, Ringwood VIC 3134, Australia",City of Maroondah,Ringwood,3134
1,Heidelberg Police Station,"11 Jika Street, Heidelberg VIC 3084, Australia",City of Banyule,Heidelberg,3084
2,Olinda Police Station,"549 Mount Dandenong Tourist Road, Olinda VIC 3788, Australia",Shire of Yarra Ranges,Olinda,3788
3,Doncaster Police Station,"979 Doncaster Road, Doncaster East VIC 3109, Australia",City of Manningham,Doncaster East,3109
4,Moonee Ponds Police Station,"766 Mount Alexander Road, Moonee Ponds VIC 3039, Australia",City of Moonee Valley,Moonee Ponds,3039
5,Belgrave Police Station,"2 Ena Road, Belgrave VIC 3160, Australia",Shire of Yarra Ranges,Belgrave,3160
6,Fitzroy Police Station,"13 Condell Street, Fitzroy VIC 3065, Australia",City of Yarra,Fitzroy,3065
7,Footscray Police Station,"66 Hyde Street, Footscray VIC 3011, Australia",City of Maribyrnong,Footscray,3011
8,Laverton Police Station,"1 Maher Road, Laverton VIC 3028, Australia",City of Hobsons Bay,Laverton,3028
9,Richmond Police Station,"217 Church Street, Richmond VIC 3121, Australia",City of Yarra,Richmond,3121
10,Flemington Police Station,"30 Wellington Street, Flemington VIC 3031, Australia",City of Moonee Valley,Flemington,3031
11,Williamstown Police Station,"100 Nelson Place, Williamstown VIC 3016, Australia",City of Hobsons Bay,Williamstown,3016
12,Dandenong Police Station,"50 Langhorne Street, Dandenong VIC 3175, Australia",City of Greater Dandenong,Dandenong,3175
13,St Kilda Police Station,"92 Chapel Street, St Kilda VIC 3182, Australia",City of Port Phillip,St Kilda,3182
14,Croydon Police Station,"171-175 Mount Dandenong Road, Croydon VIC 3136, Australia",City of Maroondah,Croydon,3136
15,Camberwell Police Station,"317 Camberwell Road, Camberwell VIC 3124, Australia",City of Boroondara,Camberwell,3124
16,Werribee Police Station,"134 Princes Highway, Werribee VIC 3030, Australia",City of Wyndham,Werribee,3030
17,Brunswick Police Station,"630 Sydney Road, Brunswick VIC 3056, Australia",City of Merri-bek,Brunswick,3056
18,Caulfield Police Station,"289 Hawthorn Road, Caulfield VIC 3162, Australia",City of Glen Eira,Caulfield,3162
19,Collingwood Police Station,"1 Eddy Court, Abbotsford VIC 3067, Australia",City of Yarra,Abbotsford,3067
20,Melbourne East Police Station,"226 Flinders Lane, Melbourne VIC 3000, Australia",City of Melbourne,Melbourne,3000
21,Sunbury Police Station,"39 Macedon Street, Melbourne VIC 3429, Australia",City of Hume,,3429
22,Burwood Police Station,"64 Burwood Highway, Burwood VIC 3125, Australia",City of Whitehorse,Burwood,3125
23,Monbulk Police Station,"58 Main Road, Monbulk VIC 3793, Australia",Shire of Yarra Ranges,Monbulk,3793
24,Sunshine Police Station,"497 Ballarat Road, Sunshine VIC 3020, Australia",City of Brimbank,Sunshine,3020
25,Boronia Police Station,"Lupton Way, Boronia VIC 3155, Australia",City of Knox,Boronia,3155
26,Epping Police Station,"Houston Street, Epping VIC 3076, Australia",City of Whittlesea,Epping,3076
27,Eltham Police Station,"Pryor Street, Eltham VIC 3095, Australia",Shire of Nillumbik,Eltham,3095
28,Mornington Police Station,"8 Main Street, Mornington VIC 3931, Australia",Shire of Mornington Peninsula,Mornington,3931
29,Nunawading Police Complex,"401 Whitehorse Road, Nunawading VIC 3131, Australia",City of Whitehorse,Nunawading,3131
30,Pakenham Police Station,"780 Princes Highway, Pakenham VIC 3810, Australia",Shire of Cardinia,Pakenham,3810
31,Northcote Police Station,"48 Dennis Street, Northcote VIC 3070, Australia",City of Darebin,Northcote,3070
32,South Melbourne Police Station,"211 Bank Street, South Melbourne VIC 3205, Australia",City of Port Phillip,South Melbourne,3205
33,Glen Waverley Police Station,"643 Ferntree Gully Road, Glen Waverley VIC 3150, Australia",City of Monash,Glen Waverley,3150
34,Melbourne North Police Station,"36 Wreckyn Street, North Melbourne VIC 3051, Australia",City of Melbourne,North Melbourne,3051
35,Melton Police Station,"243 Station Road, Melbourne VIC 3337, Australia",City of Melton,,3337
36,Malvern Police Station,"288 Glenferrie Road, Malvern VIC 3144, Australia",City of Stonnington,Malvern,3144
37,Emerald Police station,"Belgrave - Gembrook Road, Emerald VIC 3782, Australia",Shire of Cardinia,Emerald,3782
38,Cheltenham Police Station,"Nepean Highway, Cheltenham VIC 3192, Australia",City of Kingston,Cheltenham,3192
39,Southbank Police Station,"66 Moray Street, Southbank VIC 3006, Australia",City of Port Phillip,Southbank,3006
40,Narre Warren Police Station,"8 Coventry Road, Narre Warren VIC 3805, Australia",City of Casey,Narre Warren,3805
41,Reservoir Police Station,"Edwardes Street, Reservoir VIC 3073, Australia",City of Darebin,Reservoir,3073
42,Mount Evelyn Police Station,"17 York Road, Mount Evelyn VIC 3796, Australia",Shire of Yarra Ranges,Mount Evelyn,3796
43,Rye,"Rye VIC 3941, Australia",Shire of Mornington Peninsula,Rye,3941
44,Clayton,"Clayton VIC 3800, Australia",City of Monash,Clayton,3800
45,Melbourne West Police Station,"313 Spencer Street, Docklands VIC 3000, Australia",City of Melbourne,Docklands,3000
46,Fawkner Police Station,"1151 Sydney Road, Fawkner VIC 3046, Australia",City of Merri-bek,Fawkner,3046
47,Frankston Police Station,"Evelyn Street, Frankston VIC 3199, Australia",City of Frankston,Frankston,3199
48,Dromana Police Station,"Point Nepean Road, Dromana VIC 3936, Australia",Shire of Mornington Peninsula,Dromana,3936
49,Victoria Police Forensic Services,"Waiora Road, Macleod VIC 3086, Australia",City of Darebin,Macleod,3086
50,Keilor Downs,"Keilor Downs VIC 3038, Australia",City of Brimbank,Keilor Downs,3038
51,Mordialloc Police Station,"31 Albert Street, Mordialloc VIC 3195, Australia",City of Kingston,Mordialloc,3195
52,Wyndham North Police Station,"610 Sayers Road, Tarneit VIC 3029, Australia",City of Wyndham,Tarneit,3029
53,Avondale Heights Police Station,"Military Road, Avondale Heights VIC 3034, Australia",City of Moonee Valley,Avondale Heights,3034
54,Preston Police Station,"Roseberry Avenue, Preston VIC 3072, Australia",City of Darebin,Preston,3072
55,Lilydale Police Station,"6-10 Albert Hill Road, Lilydale VIC 3140, Australia",Shire of Yarra Ranges,Lilydale,3140
56,Yarra Junction Police Station,"2395 Warburton Highway, Melbourne VIC 3797, Australia",Shire of Yarra Ranges,,3797
57,Mount Waverley Police Station,"338 Stephensons Road, Mount Waverley VIC 3149, Australia",City of Monash,Mount Waverley,3149
58,Flinders Street Station Police Booth,"207-361 Flinders Street, Melbourne VIC 3000, Australia",City of Melbourne,Melbourne,3000
59,Chelsea Police Station,"Chelsea Road, Chelsea VIC 3196, Australia",City of Kingston,Chelsea,3196
60,Sorrento,"Sorrento VIC 3943, Australia",Shire of Mornington Peninsula,Sorrento,3943
61,Bayside Police Station,"25-31 Abbott Street, Sandringham VIC 3191, Australia",City of Bayside,Sandringham,3191
62,Mooroolbark Police Station,"Cambridge Road Trail, Mooroolbark VIC 3138, Australia",Shire of Yarra Ranges,Mooroolbark,3138
63,Springvale Police Station,"Springvale Road, Springvale VIC 3171, Australia",City of Greater Dandenong,Springvale,3171
64,Prahran,"Malvern Road, South Yarra VIC 3141, Australia",City of Stonnington,South Yarra,3141
65,Melbourne Custody Centre,"William Street, Melbourne VIC 3000, Australia",City of Melbourne,Melbourne,3000
66,Melbourne Prosecutions,"456 Lonsdale Street, Melbourne VIC 3000, Australia",City of Melbourne,Melbourne,3000
67,Koo Wee Rup,"Icke Road, Melbourne VIC, Australia",Shire of Cardinia,,
68,Cranbourne,"Cranbourne VIC 3977, Australia",City of Casey,Cranbourne,3977
69,Bunyip,"Pearson Street, Melbourne VIC 3815, Australia",Shire of Cardinia,,3815
70,Endeavour Hills Police Station,"Heatherton Road, Endeavour Hills VIC 3802, Australia",City of Casey,Endeavour Hills,3802
71,Greensborough,"Greensborough VIC 3088, Australia",City of Banyule,Greensborough,3088
72,Boroondara Police Station,"34 Harp Road, Kew VIC 3101, Australia",City of Boroondara,Kew,3101
73,Moorabbin Police Complex,"1011-1013 Nepean Highway, Moorabbin VIC 3189, Australia",City of Kingston,Moorabbin,3189
74,Ashburton,"Ashburton VIC 3147, Australia",City of Boroondara,Ashburton,3147
75,Knox Police Station,"Burwood Highway, Wantirna South VIC 3152, Australia",City of Knox,Wantirna South,3152
76,Vehicle Impoundment Support Unit,"55 Raglan Street, Preston VIC 3072, Australia",City of Darebin,Preston,3072
77,Police Station,"2395 Warburton Highway, Melbourne VIC 3797, Australia",Shire of Yarra Ranges,,3797
78,VF2 St Kilda Coast Guard,"Bay Trail, St Kilda VIC 3182, Australia",City of Port Phillip,St Kilda,3182
79,VF10 Werribee Coast Guard,"Beach Road, Werribee South VIC 3030, Australia",City of Wyndham,Werribee South,3030
80,Diamond Creek Police Station,"George Street, Diamond Creek VIC 3089, Australia",Shire of Nillumbik,Diamond Creek,3089
81,Caroline Springs Police Station,"221-223 Caroline Springs Boulevard, Caroline Springs VIC 3023, Australia",City of Melton,Caroline Springs,3023
82,Dawson Street Police Complex,"20 Dawson Street, Brunswick VIC 3056, Australia",City of Merri-bek,Brunswick,3056
83,Victoria Police Collingwood Complex,"119 Wellington Street, Collingwood VIC 3066, Australia",City of Yarra,Collingwood,3066
84,Customs House,"Grants Road, Melbourne Airport VIC 3045, Australia",City of Hume,Melbourne Airport,3045
85,Hastings Police Station,"High Street, Melbourne VIC 3915, Australia",Shire of Mornington Peninsula,,3915
86,Spencer Street Police Complex,"263-313 Spencer Street, Docklands VIC 3000, Australia",City of Melbourne,Docklands,3000
87,Rowville Police Station,"Fulham Road, Rowville VIC 3178, Australia",City of Knox,Rowville,3178
88,Boroondara Police Station,"Anniversary Outer Circle Trail, Kew VIC 3102, Australia",City of Boroondara,Kew,3102
89,Altona North Police Station,"72 Cooper Avenue, Altona North VIC 3025, Australia",City of Hobsons Bay,Altona North,3025
90,Australian Federal Police,"Service Road, Melbourne Airport VIC 3045, Australia",City of Hume,Melbourne Airport,3045
91,Oakleigh Police Station,"Atherton Road, Oakleigh VIC 3617, Australia",City of Monash,Oakleigh,3617
92,Mill Park Police Station,"151 Centenary Drive, Mill Park VIC 3082, Australia",City of Whittlesea,Mill Park,3082
93,Lang Lang,"Whitstable Street, Melbourne VIC, Australia",Shire of Cardinia,,
94,Attwood Police Complex,"Mickleham Road, Attwood VIC 3049, Australia",City of Hume,Attwood,3049
95,Craigieburn Police Station,"Belsay Place, Craigieburn VIC 3064, Australia",City of Hume,Craigieburn,3064
96,Carrum Downs Police Station,"Ballarto Road, Carrum Downs VIC 3201, Australia",City of Frankston,Carrum Downs,3201
97,Australian Department of Home Affairs / Agriculture,"Centre Road, Melbourne Airport VIC 3045, Australia",City of Hume,Melbourne Airport,3045
98,Rosebud Police Station,"95 Boneo Road, Rosebud VIC 3939, Australia",Shire of Mornington Peninsula,Rosebud,3939
99,Altona Police Station,"1 Galvin Street, Altona VIC 3018, Australia",City of Hobsons Bay,Altona,3018
100,Warrandyte Police Station,"Police Street, Warrandyte VIC 3113, Australia",City of Manningham,Warrandyte,3113
101,Box Hill,"Box Hill VIC 3128, Australia",City of Whitehorse,Box Hill,3128
102,Melbourne Airport Police Shopfront,"Arrival Drive, Melbourne Airport VIC 3045, Australia",City of Hume,Melbourne Airport,3045
103,Mernda Police Station,"Bridge Inn Road, Mernda VIC 3754, Australia",City of Whittlesea,Mernda,3754
104,Warburton Police Station,"44 Station Road, Melbourne VIC 3799, Australia",Shire of Yarra Ranges,,3799
105,Avondale Heights,"Avondale Heights VIC 3034, Australia",City of Moonee Valley,Avondale Heights,3034
106,Police Airwing,"72 Hargrave Avenue, Essendon Fields VIC 3041, Australia",City of Moonee Valley,Essendon Fields,3041
107,Broadmeadows Police Station,"15 Dimboola Road, Broadmeadows VIC 3047, Australia",City of Hume,Broadmeadows,3047
108,Police Academy,"1 View Mount Road, Glen Waverley VIC 3150, Australia",City of Monash,Glen Waverley,3150
109,Wyndham North,"610 Sayers Road, Tarneit VIC 3029, Australia",City of Wyndham,Tarneit,3029
110,Whitehorse TMU,"Queen Street, Nunawading VIC 3132, Australia",City of Whitehorse,Nunawading,3132
111,Whittlesea Police Station,"Church Street, Melbourne VIC 3757, Australia",City of Whittlesea,,3757
112,Forest Hill Police Station,"469 Springvale Road, Forest Hill VIC 3131, Australia",City of Whitehorse,Forest Hill,3131
113,Somerville Police Station,"Eramosa Road West, Somerville VIC 3912, Australia",Shire of Mornington Peninsula,Somerville,3912
114,,"Hurstbridge VIC 3099, Australia",Shire of Nillumbik,Hurstbridge,3099
115,,"Dandenong VIC 3177, Australia",City of Greater Dandenong,Dandenong,3177
116,,"Avondale Heights VIC 3034, Australia",City of Moonee Valley,Avondale Heights,3034
117,,"Preston VIC 3072, Australia",City of Darebin,Preston,3072
118,,"Somerville VIC 3912, Australia",Shire of Mornington Peninsula,Somerville,3912
119,,"Reservoir VIC 3073, Australia",City of Darebin,Reservoir,3073
120,,"Vermont South VIC 3151, Australia",City of Whitehorse,Vermont South,3151
121,,"Melbourne Airport VIC 3045, Australia",City of Hume,Melbourne Airport,3045
122,,"Deer Park VIC 3023, Australia",City of Brimbank,Deer Park,3023
